"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"M62"	"M19"	"Other disorders of muscle"	"Other and unspecified osteoarthritis"	1	4361	0	4361
"J45"	"E87"	"Asthma"	"Other disorders of fluid, electrolyte and acid-base balance"	1	3250	0	3250
"M17"	"M46"	"Osteoarthritis of knee"	"Other inflammatory spondylopathies"	1	347	182	529
"H25"	"K22"	"Age-related cataract"	"Other diseases of esophagus"	1	1941	1462	3403
"M06"	"E55"	"Other rheumatoid arthritis"	"Vitamin D deficiency"	1	225	95	320
"K01"	"O02"	"Embedded and impacted teeth"	"Other abnormal products of conception"	1	150	16	166
"K85"	"C79"	"Acute pancreatitis"	"Secondary malignant neoplasm of other and unspecified sites"	1	282	24	306
"I47"	"D68"	"Paroxysmal tachycardia"	"Other coagulation defects"	1	615	121	736
"J38"	"I48"	"Diseases of vocal cords and larynx, not elsewhere classified"	"Atrial fibrillation and flutter"	1	924	398	1322
"D07"	"I63"	"Carcinoma in situ of other and unspecified genital organs"	"Cerebral infarction"	1	92	28	120
"Q25"	"J45"	"Congenital malformations of great arteries"	"Asthma"	1	1046	262	1308
"A63"	"G96"	"Oth predominantly sexually transmitted diseases, NEC"	"Other disorders of central nervous system"	1	172	3	175
"M62"	"F34"	"Other disorders of muscle"	"Persistent mood [affective] disorders"	1	268	55	323
"N43"	"D69"	"Hydrocele and spermatocele"	"Purpura and other hemorrhagic conditions"	1	126	33	159
"O02"	"M99"	"Other abnormal products of conception"	"Biomechanical lesions, not elsewhere classified"	1	100	0	100
"K02"	"I08"	"Dental caries"	"Multiple valve diseases"	1	65	14	79
"I45"	"A41"	"Other conduction disorders"	"Other sepsis"	1	1009	356	1365
"G45"	"D46"	"Transient cerebral ischemic attacks and related syndromes"	"Myelodysplastic syndromes"	1	140	29	169
"O62"	"I82"	"Abnormalities of forces of labor"	"Other venous embolism and thrombosis"	1	163	0	163
"O82"	"F43"	"Encounter for cesarean delivery without indication"	"Reaction to severe stress, and adjustment disorders"	1	963	128	1091
"N95"	"B96"	"Menopausal and other perimenopausal disorders"	"Oth bacterial agents as the cause of diseases classd elswhr"	1	61	5	66
"M72"	"N18"	"Fibroblastic disorders"	"Chronic kidney disease (CKD)"	1	690	13	703
"N92"	"F06"	"Excessive, frequent and irregular menstruation"	"Other mental disorders due to known physiological condition"	1	115	1	116
"H35"	"I87"	"Other retinal disorders"	"Other disorders of veins"	1	265	155	420
"M51"	"D18"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	"Hemangioma and lymphangioma, any site"	1	228	122	350
"H71"	"F17"	"Cholesteatoma of middle ear"	"Nicotine dependence"	1	99	6	105
"H65"	"I35"	"Nonsuppurative otitis media"	"Nonrheumatic aortic valve disorders"	1	273	9	282
"O80"	"J32"	"Encounter for full-term uncomplicated delivery"	"Chronic sinusitis"	1	1228	55	1283
"F50"	"O47"	"Eating disorders"	"False labor"	1	123	31	154
"O64"	"K05"	"Obstructed labor due to malposition and malpresent of fetus"	"Gingivitis and periodontal diseases"	1	28	0	28
"O63"	"I63"	"Long labor"	"Cerebral infarction"	1	31	0	31
"H10"	"F32"	"Conjunctivitis"	"Depressive episode"	1	679	184	863
"O04"	"K45"	"Complications following (induced) termination of pregnancy"	"Other abdominal hernia"	1	251	0	251
"J03"	"E66"	"Acute tonsillitis"	"Overweight and obesity"	1	1656	683	2339
"C32"	"K04"	"Malignant neoplasm of larynx"	"Diseases of pulp and periapical tissues"	1	631	305	936
"H65"	"K29"	"Nonsuppurative otitis media"	"Gastritis and duodenitis"	1	449	172	621
"J45"	"M00"	"Asthma"	"Pyogenic arthritis"	1	227	102	329
"N46"	"K42"	"Male infertility"	"Umbilical hernia"	1	129	41	170
"N95"	"C56"	"Menopausal and other perimenopausal disorders"	"Malignant neoplasm of ovary"	1	640	91	731
"C20"	"F03"	"Malignant neoplasm of rectum"	"Unspecified dementia"	1	437	134	571
"N13"	"C34"	"Obstructive and reflux uropathy"	"Malignant neoplasm of bronchus and lung"	1	439	230	669
"M23"	"C80"	"Internal derangement of knee"	"Malignant neoplasm without specification of site"	1	149	0	149
"C61"	"E55"	"Malignant neoplasm of prostate"	"Vitamin D deficiency"	1	194	64	258
"O14"	"G43"	"Pre-eclampsia"	"Migraine"	1	354	140	494
"J36"	"N17"	"Peritonsillar abscess"	"Acute kidney failure"	1	45	0	45
"I83"	"J18"	"Varicose veins of lower extremities"	"Pneumonia, unspecified organism"	1	8247	0	8247
"O08"	"O24"	"Complications following ectopic and molar pregnancy"	"Diabetes in pregnancy, childbirth, and the puerperium"	1	383	198	581
"N46"	"H26"	"Male infertility"	"Other cataract"	1	58	16	74
"N97"	"D32"	"Female infertility"	"Benign neoplasm of meninges"	1	25	0	25
"E16"	"F03"	"Other disorders of pancreatic internal secretion"	"Unspecified dementia"	1	993	489	1482
"Q74"	"O68"	"Other congenital malformations of limb(s)"	"Labor and delivery comp by abnlt of fetal acid-base balance"	1	35	0	35
"I70"	"D62"	"Atherosclerosis"	"Acute posthemorrhagic anemia"	1	1088	563	1651
"A63"	"M48"	"Oth predominantly sexually transmitted diseases, NEC"	"Other spondylopathies"	1	117	4	121
"O04"	"O86"	"Complications following (induced) termination of pregnancy"	"Other puerperal infections"	1	780	399	1179
"O99"	"F17"	"Oth maternal diseases classd elsw but compl preg/chldbrth"	"Nicotine dependence"	1	1662	1183	2845
"O04"	"M35"	"Complications following (induced) termination of pregnancy"	"Other systemic involvement of connective tissue"	1	662	141	803
"C09"	"K12"	"Malignant neoplasm of tonsil"	"Stomatitis and related lesions"	1	444	92	536
"J36"	"F60"	"Peritonsillar abscess"	"Specific personality disorders"	1	41	3	44
"J35"	"J30"	"Chronic diseases of tonsils and adenoids"	"Vasomotor and allergic rhinitis"	1	1561	752	2313
"H65"	"K20"	"Nonsuppurative otitis media"	"Esophagitis"	1	122	53	175
"H65"	"M46"	"Nonsuppurative otitis media"	"Other inflammatory spondylopathies"	1	35	3	38
"K60"	"L98"	"Fissure and fistula of anal and rectal regions"	"Oth disorders of skin, subcu, not elsewhere classified"	1	288	132	420
"K43"	"F03"	"Ventral hernia"	"Unspecified dementia"	1	632	50	682
"K40"	"F98"	"Inguinal hernia"	"Oth behav/emotn disord w onset usly occur in chldhd and adol"	1	164	49	213
"M20"	"E13"	"Acquired deformities of fingers and toes"	"Other specified diabetes mellitus"	1	85	21	106
"K20"	"D64"	"Esophagitis"	"Other anemias"	1	2202	1545	3747
"K25"	"F03"	"Gastric ulcer"	"Unspecified dementia"	1	2518	922	3440
"H25"	"I63"	"Age-related cataract"	"Cerebral infarction"	1	18996	0	18996
"M23"	"I15"	"Internal derangement of knee"	"Secondary hypertension"	1	535	240	775
"Q21"	"E06"	"Congenital malformations of cardiac septa"	"Thyroiditis"	1	31	2	33
"E86"	"F41"	"Volume depletion"	"Other anxiety disorders"	1	1773	1450	3223
"H10"	"F33"	"Conjunctivitis"	"Major depressive disorder, recurrent"	1	392	23	415
"O36"	"J15"	"Maternal care for other fetal problems"	"Bacterial pneumonia, not elsewhere classified"	1	245	32	277
"O46"	"O82"	"Antepartum hemorrhage, not elsewhere classified"	"Encounter for cesarean delivery without indication"	1	4461	3036	7497
"E20"	"A41"	"Hypoparathyroidism"	"Other sepsis"	1	152	70	222
"H83"	"G12"	"Other diseases of inner ear"	"Spinal muscular atrophy and related syndromes"	1	48	0	48
"D36"	"J15"	"Benign neoplasm of other and unspecified sites"	"Bacterial pneumonia, not elsewhere classified"	1	73	9	82
"J34"	"D62"	"Other and unspecified disorders of nose and nasal sinuses"	"Acute posthemorrhagic anemia"	1	75	13	88
"E28"	"O34"	"Ovarian dysfunction"	"Maternal care for abnormality of pelvic organs"	1	567	184	751
"O42"	"K64"	"Premature rupture of membranes"	"Hemorrhoids and perianal venous thrombosis"	1	554	0	554
"K00"	"M54"	"Disorders of tooth development and eruption"	"Dorsalgia"	1	319	75	394
"L20"	"O26"	"Atopic dermatitis"	"Maternal care for oth conditions predom related to pregnancy"	1	174	44	218
"I21"	"A41"	"Acute myocardial infarction"	"Other sepsis"	1	10988	0	10988
"N20"	"E78"	"Calculus of kidney and ureter"	"Disorders of lipoprotein metabolism and other lipidemias"	1	2730	1029	3759
"J35"	"M77"	"Chronic diseases of tonsils and adenoids"	"Other enthesopathies"	1	664	32	696
"K62"	"J90"	"Other diseases of anus and rectum"	"Pleural effusion, not elsewhere classified"	1	712	272	984
"K00"	"E78"	"Disorders of tooth development and eruption"	"Disorders of lipoprotein metabolism and other lipidemias"	1	63	8	71
"N20"	"M15"	"Calculus of kidney and ureter"	"Polyosteoarthritis"	1	197	89	286
"J20"	"K65"	"Acute bronchitis"	"Peritonitis"	1	153	60	213
"K30"	"J91"	"Functional dyspepsia"	"Pleural effusion in conditions classified elsewhere"	1	279	36	315
"C53"	"F41"	"Malignant neoplasm of cervix uteri"	"Other anxiety disorders"	1	223	37	260
"K41"	"C34"	"Femoral hernia"	"Malignant neoplasm of bronchus and lung"	1	170	14	184
"N20"	"D72"	"Calculus of kidney and ureter"	"Other disorders of white blood cells"	1	82	18	100
"H20"	"I69"	"Iridocyclitis"	"Sequelae of cerebrovascular disease"	1	313	55	368
"M70"	"I50"	"Soft tissue disorders related to use, overuse and pressure"	"Heart failure"	1	1718	701	2419
"L02"	"M50"	"Cutaneous abscess, furuncle and carbuncle"	"Cervical disc disorders"	1	544	386	930
"N46"	"I63"	"Male infertility"	"Cerebral infarction"	1	102	0	102
"C61"	"K56"	"Malignant neoplasm of prostate"	"Paralytic ileus and intestinal obstruction without hernia"	1	881	467	1348
"O48"	"M62"	"Late pregnancy"	"Other disorders of muscle"	1	788	244	1032
"H10"	"J81"	"Conjunctivitis"	"Pulmonary edema"	1	171	14	185
"O24"	"M07"	"Diabetes in pregnancy, childbirth, and the puerperium"	"Enteropathic arthropathies"	1	51	6	57
"K40"	"E25"	"Inguinal hernia"	"Adrenogenital disorders"	1	87	9	96
"O42"	"K45"	"Premature rupture of membranes"	"Other abdominal hernia"	1	96	0	96
"I69"	"E86"	"Sequelae of cerebrovascular disease"	"Volume depletion"	1	13330	9722	23052
"M23"	"D12"	"Internal derangement of knee"	"Benign neoplasm of colon, rectum, anus and anal canal"	1	5651	0	5651
"M20"	"C64"	"Acquired deformities of fingers and toes"	"Malignant neoplasm of kidney, except renal pelvis"	1	134	13	147
"O66"	"C53"	"Other obstructed labor"	"Malignant neoplasm of cervix uteri"	1	33	0	33
"O20"	"K90"	"Hemorrhage in early pregnancy"	"Intestinal malabsorption"	1	108	0	108
"M17"	"G93"	"Osteoarthritis of knee"	"Other disorders of brain"	1	308	81	389
"M31"	"N28"	"Other necrotizing vasculopathies"	"Oth disorders of kidney and ureter, not elsewhere classified"	1	133	57	190
"O75"	"F17"	"Oth complications of labor and delivery, NEC"	"Nicotine dependence"	1	212	30	242
"M17"	"E16"	"Osteoarthritis of knee"	"Other disorders of pancreatic internal secretion"	1	657	178	835
"M22"	"D84"	"Disorder of patella"	"Other immunodeficiencies"	1	31	0	31
"H33"	"C16"	"Retinal detachments and breaks"	"Malignant neoplasm of stomach"	1	61	1	62
"O65"	"M05"	"Obstructed labor due to maternal pelvic abnormality"	"Rheumatoid arthritis with rheumatoid factor"	1	55	0	55
"O80"	"J43"	"Encounter for full-term uncomplicated delivery"	"Emphysema"	1	57	0	57
"E10"	"L28"	"Type 1 diabetes mellitus"	"Lichen simplex chronicus and prurigo"	1	186	76	262
"B34"	"M08"	"Viral infection of unspecified site"	"Juvenile arthritis"	1	180	62	242
"H71"	"O99"	"Cholesteatoma of middle ear"	"Oth maternal diseases classd elsw but compl preg/chldbrth"	1	100	18	118
"H81"	"C45"	"Disorders of vestibular function"	"Mesothelioma"	1	34	1	35
"N48"	"D63"	"Other disorders of penis"	"Anemia in chronic diseases classified elsewhere"	1	115	7	122
"D27"	"F05"	"Benign neoplasm of ovary"	"Delirium due to known physiological condition"	1	86	0	86
"E66"	"H35"	"Overweight and obesity"	"Other retinal disorders"	1	1848	1165	3013
"G56"	"I69"	"Mononeuropathies of upper limb"	"Sequelae of cerebrovascular disease"	1	2380	480	2860
"I15"	"I51"	"Secondary hypertension"	"Complications and ill-defined descriptions of heart disease"	1	261	151	412
"O70"	"M47"	"Perineal laceration during delivery"	"Spondylosis"	1	446	0	446
"I25"	"J18"	"Chronic ischemic heart disease"	"Pneumonia, unspecified organism"	1	53658	0	53658
"C18"	"C92"	"Malignant neoplasm of colon"	"Myeloid leukemia"	1	63	18	81
"F10"	"G97"	"Alcohol related disorders"	"Intraop and postproc comp and disorders of nervous sys, NEC"	1	51	9	60
"G12"	"E64"	"Spinal muscular atrophy and related syndromes"	"Sequelae of malnutrition and other nutritional deficiencies"	1	86	21	107
"O30"	"B34"	"Multiple gestation"	"Viral infection of unspecified site"	1	114	45	159
"O42"	"M25"	"Premature rupture of membranes"	"Other joint disorder, not elsewhere classified"	1	535	116	651
"I63"	"N17"	"Cerebral infarction"	"Acute kidney failure"	1	1717	771	2488
"M81"	"E64"	"Osteoporosis without current pathological fracture"	"Sequelae of malnutrition and other nutritional deficiencies"	1	874	604	1478
"O21"	"G45"	"Excessive vomiting in pregnancy"	"Transient cerebral ischemic attacks and related syndromes"	1	34	1	35
"D23"	"M19"	"Other benign neoplasms of skin"	"Other and unspecified osteoarthritis"	1	839	397	1236
"H65"	"O80"	"Nonsuppurative otitis media"	"Encounter for full-term uncomplicated delivery"	1	539	235	774
"M43"	"J96"	"Other deforming dorsopathies"	"Respiratory failure, not elsewhere classified"	1	637	32	669
"H80"	"A41"	"Otosclerosis"	"Other sepsis"	1	267	0	267
"O36"	"I80"	"Maternal care for other fetal problems"	"Phlebitis and thrombophlebitis"	1	297	135	432
"A02"	"C78"	"Other salmonella infections"	"Secondary malignant neoplasm of resp and digestive organs"	1	52	7	59
"A02"	"C79"	"Other salmonella infections"	"Secondary malignant neoplasm of other and unspecified sites"	1	35	4	39
"A02"	"O62"	"Other salmonella infections"	"Abnormalities of forces of labor"	1	80	23	103
"A02"	"O68"	"Other salmonella infections"	"Labor and delivery comp by abnlt of fetal acid-base balance"	1	45	5	50
"A02"	"O70"	"Other salmonella infections"	"Perineal laceration during delivery"	1	92	6	98
"A02"	"O72"	"Other salmonella infections"	"Postpartum hemorrhage"	1	69	0	69
"A02"	"O80"	"Other salmonella infections"	"Encounter for full-term uncomplicated delivery"	1	136	56	192
"A04"	"O72"	"Other bacterial intestinal infections"	"Postpartum hemorrhage"	1	318	50	368
"A08"	"C34"	"Viral and other specified intestinal infections"	"Malignant neoplasm of bronchus and lung"	1	201	77	278
"A08"	"C78"	"Viral and other specified intestinal infections"	"Secondary malignant neoplasm of resp and digestive organs"	1	220	61	281
"A08"	"E73"	"Viral and other specified intestinal infections"	"Lactose intolerance"	1	103	20	123
"A08"	"F33"	"Viral and other specified intestinal infections"	"Major depressive disorder, recurrent"	1	297	105	402
"A08"	"K52"	"Viral and other specified intestinal infections"	"Other and unsp noninfective gastroenteritis and colitis"	1	1160	802	1962
"A08"	"K58"	"Viral and other specified intestinal infections"	"Irritable bowel syndrome"	1	364	192	556
"A08"	"O70"	"Viral and other specified intestinal infections"	"Perineal laceration during delivery"	1	639	138	777
"A09"	"A49"	"Infectious gastroenteritis and colitis, unspecified"	"Bacterial infection of unspecified site"	1	2167	957	3124
"A09"	"B96"	"Infectious gastroenteritis and colitis, unspecified"	"Oth bacterial agents as the cause of diseases classd elswhr"	1	328	138	466
"A09"	"C78"	"Infectious gastroenteritis and colitis, unspecified"	"Secondary malignant neoplasm of resp and digestive organs"	1	1090	438	1528
"A09"	"C79"	"Infectious gastroenteritis and colitis, unspecified"	"Secondary malignant neoplasm of other and unspecified sites"	1	628	288	916
"A09"	"D63"	"Infectious gastroenteritis and colitis, unspecified"	"Anemia in chronic diseases classified elsewhere"	1	758	497	1255
"A09"	"E41"	"Infectious gastroenteritis and colitis, unspecified"	"Nutritional marasmus"	1	190	67	257
"A09"	"E55"	"Infectious gastroenteritis and colitis, unspecified"	"Vitamin D deficiency"	1	633	313	946
"A09"	"E66"	"Infectious gastroenteritis and colitis, unspecified"	"Overweight and obesity"	1	2512	1467	3979
"A09"	"F03"	"Infectious gastroenteritis and colitis, unspecified"	"Unspecified dementia"	1	2127	1073	3200
"A09"	"F12"	"Infectious gastroenteritis and colitis, unspecified"	"Cannabis related disorders"	1	160	58	218
"A09"	"F33"	"Infectious gastroenteritis and colitis, unspecified"	"Major depressive disorder, recurrent"	1	1019	517	1536
"A09"	"G95"	"Infectious gastroenteritis and colitis, unspecified"	"Other and unspecified diseases of spinal cord"	1	199	110	309
"A09"	"H50"	"Infectious gastroenteritis and colitis, unspecified"	"Other strabismus"	1	756	403	1159
"A09"	"I35"	"Infectious gastroenteritis and colitis, unspecified"	"Nonrheumatic aortic valve disorders"	1	1012	757	1769
"A09"	"I95"	"Infectious gastroenteritis and colitis, unspecified"	"Hypotension"	1	1057	629	1686
"A09"	"J06"	"Infectious gastroenteritis and colitis, unspecified"	"Acute upper resp infections of multiple and unsp sites"	1	3615	2728	6343
"A09"	"J90"	"Infectious gastroenteritis and colitis, unspecified"	"Pleural effusion, not elsewhere classified"	1	503	301	804
"A09"	"J96"	"Infectious gastroenteritis and colitis, unspecified"	"Respiratory failure, not elsewhere classified"	1	3138	1616	4754
"A09"	"K52"	"Infectious gastroenteritis and colitis, unspecified"	"Other and unsp noninfective gastroenteritis and colitis"	1	5602	4727	10329
"A09"	"K59"	"Infectious gastroenteritis and colitis, unspecified"	"Other functional intestinal disorders"	1	8272	5016	13288
"A09"	"K63"	"Infectious gastroenteritis and colitis, unspecified"	"Other diseases of intestine"	1	741	432	1173
"A09"	"K90"	"Infectious gastroenteritis and colitis, unspecified"	"Intestinal malabsorption"	1	627	309	936
"A09"	"L30"	"Infectious gastroenteritis and colitis, unspecified"	"Other and unspecified dermatitis"	1	847	461	1308
"A09"	"L57"	"Infectious gastroenteritis and colitis, unspecified"	"Skin changes due to chronic expsr to nonionizing radiation"	1	332	109	441
"A09"	"L90"	"Infectious gastroenteritis and colitis, unspecified"	"Atrophic disorders of skin"	1	497	175	672
"A09"	"M08"	"Infectious gastroenteritis and colitis, unspecified"	"Juvenile arthritis"	1	151	67	218
"A09"	"M80"	"Infectious gastroenteritis and colitis, unspecified"	"Osteoporosis with current pathological fracture"	1	1138	897	2035
"A09"	"N28"	"Infectious gastroenteritis and colitis, unspecified"	"Oth disorders of kidney and ureter, not elsewhere classified"	1	503	269	772
"A09"	"N39"	"Infectious gastroenteritis and colitis, unspecified"	"Other disorders of urinary system"	1	5013	3511	8524
"A09"	"N47"	"Infectious gastroenteritis and colitis, unspecified"	"Disorders of prepuce"	1	1182	488	1670
"A09"	"N50"	"Infectious gastroenteritis and colitis, unspecified"	"Other and unspecified disorders of male genital organs"	1	338	129	467
"A09"	"O32"	"Infectious gastroenteritis and colitis, unspecified"	"Maternal care for malpresentation of fetus"	1	313	165	478
